Name,ShortName,LevelType,CityCode,ZipCode,MergerName,lng,Lat,Pinyin
英吉沙县,英吉沙,3,998,844500,中国-新疆维吾尔自治区-喀什地区-英吉沙县,76.17565,38.92968,Yingjisha
泽普县,泽普,3,998,844800,中国-新疆维吾尔自治区-喀什地区-泽普县,77.27145,38.18935,Zepu
莎车县,莎车,3,998,844700,中国-新疆维吾尔自治区-喀什地区-莎车县,77.24316,38.41601,Shache
叶城县,叶城,3,998,844900,中国-新疆维吾尔自治区-喀什地区-叶城县,77.41659,37.88324,Yecheng
麦盖提县,麦盖提,3,998,844600,中国-新疆维吾尔自治区-喀什地区-麦盖提县,77.64224,38.89662,Maigaiti
岳普湖县,岳普湖,3,998,844400,中国-新疆维吾尔自治区-喀什地区-岳普湖县,76.77233,39.23561,Yuepuhu
伽师县,伽师,3,998,844300,中国-新疆维吾尔自治区-喀什地区-伽师县,76.72372,39.48801,Jiashi
巴楚县,巴楚,3,998,843800,中国-新疆维吾尔自治区-喀什地区-巴楚县,78.54888,39.7855,Bachu
塔什库尔干塔吉克自治县,塔什库尔干塔吉克,3,998,845250,中国-新疆维吾尔自治区-喀什地区-塔什库尔干塔吉克自治县,75.23196,37.77893,Tashikuergantajike
和田地区,和田,2,903,848000,中国-新疆维吾尔自治区-和田地区,79.92533,37.110687,Hotan
和田市,和田市,3,903,848000,中国-新疆维吾尔自治区-和田地区-和田市,79.91353,37.11214,Hetianshi
和田县,和田县,3,903,848000,中国-新疆维吾尔自治区-和田地区-和田县,79.82874,37.08922,Hetianxian
墨玉县,墨玉,3,903,848100,中国-新疆维吾尔自治区-和田地区-墨玉县,79.74035,37.27248,Moyu
皮山县,皮山,3,903,845150,中国-新疆维吾尔自治区-和田地区-皮山县,78.28125,37.62007,Pishan
洛浦县,洛浦,3,903,848200,中国-新疆维吾尔自治区-和田地区-洛浦县,80.18536,37.07364,Luopu
策勒县,策勒,3,903,848300,中国-新疆维吾尔自治区-和田地区-策勒县,80.80999,36.99843,Cele
于田县,于田,3,903,848400,中国-新疆维吾尔自治区-和田地区-于田县,81.66717,36.854,Yutian
民丰县,民丰,3,903,848500,中国-新疆维吾尔自治区-和田地区-民丰县,82.68444,37.06577,Minfeng
伊犁哈萨克自治州,伊犁,2,999,835100,中国-新疆维吾尔自治区-伊犁哈萨克自治州,81.317946,43.92186,Ili
